unit_id,unit_name,updated_at
"03fd31fd-2b36-4ac8-95e3-9ac5d0baddbd","C?p","2025-12-24T22:37:14.665625+00:00"
"0477f004-55d0-442e-ac8c-543af2ad465d","dm","2025-12-24T22:37:14.683598+00:00"
"0c4e40f5-3dd6-4029-9f4f-a561b64301fc","S?i","2025-12-24T22:37:14.699054+00:00"
"101b4bb0-2808-4185-b58c-337ddab8018f","B?ch","2025-12-24T22:37:14.661697+00:00"
"10d75836-0fd3-4a20-9cc6-b612a749700f","Thùng 100","2025-12-24T22:10:18.243155+07:00"
"11d52db8-8b22-4747-af15-65102e824246","L?n","2025-12-24T22:37:14.690658+00:00"
"1c044eb6-1676-4a40-b9e5-88039fcfe9ea","Ði?u","2025-12-24T22:37:14.682407+00:00"
"22047a40-231a-48f4-a2a1-214791322005","Gói","2025-12-24T22:10:18.222395+07:00"
"23051b08-2409-4e03-ad4b-c81977fd2067","Kwh","2025-12-24T22:37:14.690083+00:00"
"230e614c-47ba-45d3-9b84-be8d3edc15a9","g","2025-12-24T22:10:18.219735+07:00"
"2685124e-1ce2-4565-a5ac-8e4d7971863c","Cu?n","2025-12-24T22:37:14.681242+00:00"
"31597062-7d39-4b6d-bc65-6fde28dc71f7","Bao","2025-12-24T22:10:18.207349+07:00"
"32265082-a9dd-4afe-895f-7c49c20ac8f1","ml","2025-12-24T22:10:18.234182+07:00"
"33dc618f-e9d4-4496-8762-d5646b7e21f7","Lon","2025-12-24T22:10:18.230138+07:00"
"36c74915-ff64-4a86-a800-335f9d0083fb","Thùng 12","2025-12-24T22:10:18.245051+07:00"
"39e7c3d8-ca57-400d-9ebc-bf6a48717b7c","B?","2025-12-24T22:37:14.663597+00:00"
"3a3d4460-f54b-46b5-a26a-cd416a020fa7","Chi?c","2025-12-24T22:37:14.669234+00:00"
"4a038681-dfad-4ec4-81ce-c388fe0a2fc4","Lít","2025-12-24T22:10:18.228636+07:00"
"51f8e1e0-7d6f-4ce1-8dee-e1e539552cd1","m2","2025-12-24T22:10:18.231755+07:00"
"56226266-0cd8-496d-b28c-9cabb1ac0f30","Viên","2025-12-24T22:10:18.252824+07:00"
"5f620512-f192-4a81-b1ad-9dec864f6c72","kg","2025-12-24T22:10:18.225917+07:00"
"612abb7f-972a-4139-b5f5-6d04df92ef17","Thùng 24","2025-12-24T22:10:18.247299+07:00"
"6aa444f8-bf60-445f-8e6a-00222bfe1922","H?p","2025-12-24T22:37:14.688011+00:00"
"6ddcd5db-b9a3-42eb-b6aa-577456e93ddf","Quy?n","2025-12-24T22:37:14.697906+00:00"
"71112249-98ce-4334-a06d-34736155fa35","Cái","2025-12-24T22:10:18.210611+07:00"
"72b1c992-97b2-40d2-8c3f-272d325bfc4d","mm","2025-12-24T22:10:18.234870+07:00"
"77669180-632a-4a79-91f6-acd80e5b0e5c","Gi?","2025-12-24T22:37:14.685344+00:00"
"78c16a03-8123-4c9a-8c31-a02c4dd62ac6","Ngày","2025-12-24T22:10:18.235526+07:00"
"7a1e65a1-116e-48f4-953d-ac997a2b2e3b","Mét","2025-12-24T22:10:18.233478+07:00"
"7bdd7293-56c7-4c9b-a789-6006fbceb153","Set","2025-12-24T22:10:18.238180+07:00"
"80298178-218a-49a6-813b-ff0e988a59c7","w","2025-12-24T22:10:18.253817+07:00"
"81cebf94-9cb9-4b20-880a-a01fc0f6d850","Chai","2025-12-24T22:10:18.212603+07:00"
"8c3fc533-a14a-4029-be88-d4d8bb83f016","Thùng","2025-12-24T22:10:18.242385+07:00"
"92249947-69ae-4ca9-90f7-176cd000eeaf","Thi?t b?","2025-12-24T22:37:14.701120+00:00"
"960d155c-6adb-4949-81bc-73d4988ba142","Tube","2025-12-24T22:10:18.249248+07:00"
"9b44dbd8-eb12-425f-b742-5051726c7968","cm","2025-12-24T22:10:18.215378+07:00"
"9c5473a6-0735-47ff-8b7d-ca1b53e57e42","Thùng 120","2025-12-24T22:10:18.245719+07:00"
"9d13ac69-ce64-4851-ae3d-dded00eef1dd","T?m","2025-12-24T22:37:14.700042+00:00"
"a1ca1092-4829-4aa9-8b65-68ad2234ab2c","Cây","2025-12-24T22:10:18.211855+07:00"
"a2c77176-1842-4f32-9a02-b7e56b707800","Tuýp","2025-12-24T22:10:18.250918+07:00"
"a4578aab-0617-4426-b18d-d754f5084a29","T?n","2025-12-24T22:37:14.700610+00:00"
